CountyID,CountyName,TotalPopulation,Lessthan10000,Lessthan14999,Lessthan19999,Lessthan24999,Lessthan29999,Lessthan34999,Lessthan39999,Lessthan44999,Lessthan49999,Lessthan59999,Lessthan74999,Lessthan99999,Lessthan124999,Lessthan149999,Over150000,Over200000,Year,Race,ID
1001,"Autauga County, Alabama",43,5,0,10,0,0,0,9,6,0,0,0,6,7,0,0,0,2000,Asian,1
1003,"Baldwin County, Alabama",132,20,8,8,5,11,0,0,0,7,12,35,4,0,0,0,22,2000,Asian,2
1005,"Barbour County, Alabama",3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2000,Asian,3
1007,"Bibb County, Alabama",6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2000,Asian,4
1009,"Blount County, Alabama",35,3,0,0,10,0,0,0,1,0,0,0,1,0,0,6,14,2000,Asian,5
1011,"Bullock County, Alabama",5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,6
1013,"Butler County, Alabama",11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2000,Asian,7
1015,"Calhoun County, Alabama",225,54,0,8,23,27,0,36,10,0,8,3,27,17,0,0,12,2000,Asian,8
1017,"Chambers County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,9
1019,"Cherokee County, Alabama",19,0,0,8,0,7,0,0,0,0,0,0,2,0,2,0,0,2000,Asian,10
1021,"Chilton County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,11
1023,"Choctaw County, Alabama",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2000,Asian,12
1025,"Clarke County, Alabama",34,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,2000,Asian,13
1027,"Clay County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,14
1029,"Cleburne County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,15
1031,"Coffee County, Alabama",86,2,13,0,9,17,7,26,0,5,0,2,0,0,5,0,0,2000,Asian,16
1033,"Colbert County, Alabama",45,0,7,10,6,0,0,0,0,0,0,11,0,0,0,0,11,2000,Asian,17
1035,"Conecuh County, Alabama",12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,2000,Asian,18
1037,"Coosa County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,19
1039,"Covington County, Alabama",10,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,2000,Asian,20
1041,"Crenshaw County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,21
1043,"Cullman County, Alabama",62,17,5,0,4,0,13,10,0,7,0,0,0,0,0,0,6,2000,Asian,22
1045,"Dale County, Alabama",106,0,8,19,0,3,5,5,11,13,11,11,15,5,0,0,0,2000,Asian,23
1047,"Dallas County, Alabama",53,8,0,0,0,0,0,0,0,6,7,7,16,0,0,9,0,2000,Asian,24
1049,"DeKalb County, Alabama",36,12,0,0,0,0,0,0,0,0,3,9,0,0,0,0,12,2000,Asian,25
1051,"Elmore County, Alabama",54,0,0,9,0,7,0,10,0,7,0,0,10,0,0,0,11,2000,Asian,26
1053,"Escambia County, Alabama",34,0,0,2,7,0,9,0,0,0,0,16,0,0,0,0,0,2000,Asian,27
1055,"Etowah County, Alabama",136,16,0,12,5,0,0,0,0,13,30,0,21,9,0,26,4,2000,Asian,28
1057,"Fayette County, Alabama",15,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,29
1059,"Franklin County, Alabama",17,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2000,Asian,30
1061,"Geneva County, Alabama",18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,2000,Asian,31
1063,"Greene County, Alabama",5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2000,Asian,32
1065,"Hale County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,33
1067,"Henry County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,34
1069,"Houston County, Alabama",162,8,5,15,14,29,22,0,0,19,0,5,24,0,0,0,21,2000,Asian,35
1071,"Jackson County, Alabama",30,0,0,9,0,9,3,0,0,0,0,0,9,0,0,0,0,2000,Asian,36
1073,"Jefferson County, Alabama",1946,277,101,130,85,150,85,99,55,80,244,238,214,46,35,21,86,2000,Asian,37
1075,"Lamar County, Alabama",4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2000,Asian,38
1077,"Lauderdale County, Alabama",75,5,14,0,14,0,0,0,0,0,7,0,0,8,0,19,8,2000,Asian,39
1079,"Lawrence County, Alabama",13,0,0,0,0,0,0,5,0,0,6,2,0,0,0,0,0,2000,Asian,40
1081,"Lee County, Alabama",675,140,67,55,40,29,63,18,26,28,17,28,62,42,18,25,17,2000,Asian,41
1083,"Limestone County, Alabama",73,0,11,0,3,0,0,0,0,21,0,18,15,5,0,0,0,2000,Asian,42
1085,"Lowndes County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,43
1087,"Macon County, Alabama",45,5,12,8,2,0,0,0,0,0,0,10,0,0,0,8,0,2000,Asian,44
1089,"Madison County, Alabama",1433,139,81,65,71,69,51,90,70,66,96,269,130,136,45,14,41,2000,Asian,45
1091,"Marengo County, Alabama",10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,46
1093,"Marion County, Alabama",26,0,0,0,0,0,0,0,5,0,0,0,9,12,0,0,0,2000,Asian,47
1095,"Marshall County, Alabama",64,11,7,0,0,7,0,0,0,6,7,7,0,10,0,9,0,2000,Asian,48
1097,"Mobile County, Alabama",1451,293,119,34,113,69,72,64,99,50,146,148,99,53,46,25,21,2000,Asian,49
1099,"Monroe County, Alabama",12,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,6,2000,Asian,50
1101,"Montgomery County, Alabama",582,58,34,0,42,58,22,19,22,39,18,61,120,33,10,18,28,2000,Asian,51
1103,"Morgan County, Alabama",142,7,6,13,0,1,0,0,15,10,23,11,39,17,0,0,0,2000,Asian,52
1105,"Perry County, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,53
1107,"Pickens County, Alabama",7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2000,Asian,54
1109,"Pike County, Alabama",59,37,0,0,9,0,0,0,8,0,5,0,0,0,0,0,0,2000,Asian,55
1111,"Randolph County, Alabama",11,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2000,Asian,56
1113,"Russell County, Alabama",74,15,0,15,20,7,0,0,0,0,0,10,0,0,0,0,7,2000,Asian,57
1115,"St. Clair County, Alabama",46,12,3,0,0,0,7,0,7,0,0,10,0,0,7,0,0,2000,Asian,58
1117,"Shelby County, Alabama",378,5,6,10,14,15,27,20,9,2,51,65,32,83,0,0,39,2000,Asian,59
1119,"Sumter County, Alabama",5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2000,Asian,60
1121,"Talladega County, Alabama",90,25,17,7,6,0,0,0,0,0,7,13,7,8,0,0,0,2000,Asian,61
1123,"Tallapoosa County, Alabama",12,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2000,Asian,62
1125,"Tuscaloosa County, Alabama",524,107,103,66,64,0,12,0,0,37,6,53,29,0,6,5,36,2000,Asian,63
1127,"Walker County, Alabama",50,6,0,0,0,0,5,5,8,8,4,0,14,0,0,0,0,2000,Asian,64
1129,"Washington County, Alabama",8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2000,Asian,65
1131,"Wilcox County, Alabama",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,66
1133,"Winston County, Alabama",29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2000,Asian,67
2013,"Aleutians East Borough, Alaska",7,0,1,0,1,0,0,1,1,0,1,0,2,0,0,0,0,2000,Asian,68
2016,"Aleutians West Census Area, Alaska",103,2,3,4,0,3,16,3,4,6,16,14,11,15,2,2,2,2000,Asian,69
1073,"Jefferson County, Alabama",2773,47,37,343,214,142,155,125,183,0,152,608,184,102,293,122,66,2005,Asian,70
2050,"Bethel Census Area, Alaska",64,3,11,0,3,5,9,3,2,0,3,9,4,5,0,4,3,2000,Asian,71
2060,"Bristol Bay Borough, Alaska",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2000,Asian,72
2068,"Denali Borough, Alaska",20,4,0,4,2,4,2,4,0,0,0,0,0,0,0,0,0,2000,Asian,73
2070,"Dillingham Census Area, Alaska",5,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2000,Asian,74
2090,"Fairbanks North Star Borough, Alaska",485,49,43,63,34,0,18,39,27,13,38,65,59,18,14,0,5,2000,Asian,75
2100,"Haines Borough, Alaska",5,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2000,Asian,76
2110,"Juneau City and Borough, Alaska",366,0,5,0,15,14,13,10,20,13,24,111,75,49,16,1,0,2000,Asian,77
2122,"Kenai Peninsula Borough, Alaska",119,20,6,5,0,25,2,9,1,16,12,13,4,2,0,2,2,2000,Asian,78
2130,"Ketchikan Gateway Borough, Alaska",164,6,0,0,11,5,5,3,5,21,6,41,26,18,0,16,1,2000,Asian,79
2150,"Kodiak Island Borough, Alaska",467,2,20,13,24,46,42,8,33,28,62,31,107,19,16,11,5,2000,Asian,80
2164,"Lake and Peninsula Borough, Alaska",8,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2000,Asian,81
2170,"Matanuska-Susitna Borough, Alaska",56,0,2,0,0,0,6,7,0,4,0,7,13,8,9,0,0,2000,Asian,82
